index,status,http_status,error,company_name,county,stage,industry,employee_count,annual_revenue,street_address,zip_code,timestamp
36,success,200,,NovvaCup (synthetic-36),Howard,seed,Other Healthcare Technology Systems,6,216549,"7572 rain flower way, columbia, md 21046",21046,2026-08-10 11:57:39
38,success,200,,Slay Naturals (synthetic-38),Anne Arundel,early,Medical Supplies,6,1712598,"303 international circle, cockeysville, maryland 21030, us - Li",21030,2026-08-10 11:57:43
37,success,200,,Dill Dinkers (synthetic-37),Baltimore County,seed,MarComm,75,26887,"1954 greenspring dr, timonium, md 21093, us - Li",21093,2026-08-10 11:57:43
39,success,200,,Fearless Sports (synthetic-39),Baltimore City,seed,Other Commercial Services,30,179232,"6751 columbia gateway drive, columbia, md 21046",21046,2026-08-10 11:57:51
40,success,200,,Terbium Labs (synthetic-40),Baltimore City,established,Environmental Services (B2B),0,59569,"1402 william st baltimore md 21230, baltimore, md 21230",21230,2026-08-10 11:57:54
42,success,200,,Coastal Private Lending (synthetic-42),Howard,pre-seed,Creative Technology,125,0,"1300 thames st., baltimore, md 21231",21231,2026-08-10 11:58:04
44,success,200,,DOOR Ventures (synthetic-44),Howard,growth,Travel & Tourism,5,162721,"303 international circle, cockeysville, maryland 21030, us - Li",21030,2026-08-10 11:58:08
43,success,200,,IndyGeneUS Bio (synthetic-43),Howard,growth,Hospitals and Health Care,6,0,"towson, maryland, 21204 - Pb",21204,2026-08-10 11:58:09
41,success,200,,PrintLess (synthetic-41),Baltimore City,early,Gaming,125,191120,"1215 east fort avenue, baltimore, md 21230",21230,2026-08-10 11:58:18
45,success,200,,iBallistix (synthetic-45),Baltimore County,early,Enterprise Technology,6,1249679,"411 n howard st, baltimore, md 21218",21218,2026-08-10 11:58:19
46,success,200,,Azadi Health (synthetic-46),Baltimore City,pre-seed,Enterprise Technology,125,13790411,"baltimore, md 21230, us - Li",21230,2026-08-10 11:58:20
47,success,200,,Tenable (synthetic-47),Baltimore City,pre-seed,Diagnostics,125,15228645,"5723 narcissus avenue, baltimore, md 21215",21215,2026-08-10 11:58:31
49,success,200,,KyurMD (synthetic-49),Howard,seed,Enterprise Technology,6,0,"323 w camden st, suite 600, baltimore, maryland 21201, us - Li",21201,2026-08-10 11:58:33
48,success,200,,ChemPacific (synthetic-48),Baltimore City,seed,Nanotechnology,350,0,"9520 berger rd, columbia, maryland 21046, us - Li",21046,2026-08-10 11:58:37
50,success,200,,Buku (Rentals) (synthetic-50),Baltimore City,growth,Network Management Software,175,44638,"323 w camden st, suite 600, baltimore, maryland 21201, us - Li",21201,2026-08-10 11:58:39
52,success,200,,Pinkaloo Technologies (synthetic-52),Baltimore City,early,Telecommunications,5,89260,"1812 ashland avenue, suite 110, baltimore, md 21205",21205,2026-08-10 11:58:46
51,success,200,,MuduPay (synthetic-51),Baltimore City,seed,Social/Platform Software,30,1855960,"1812 ashland avenue, suite 110, baltimore, md 21205",21205,2026-08-10 11:58:50
53,success,200,,STEER (synthetic-53),Baltimore City,seed,Sporting Goods / Recreation,6,196569,"6030 daybreak circle, clarksville, md 21029",21029,2026-08-10 11:58:55
54,success,200,,JIO ROBOTICS LLC (synthetic-54),Baltimore City,growth,Financial Services,30,118617,"6996 columbia gateway dr, columbia, maryland 21046, us - Li",21046,2026-08-10 11:58:59
55,success,200,,Era (synthetic-55),Baltimore City,pre-seed,MarComm,30,929264,"109 belfast road, timonium, md 21093",21093,2026-08-10 11:59:04
56,success,200,,Curuvar (synthetic-56),Baltimore City,pre-seed,Diagnostic Equipment,0,15916827,"1302 glenmont rd, baltimore, md 21239",21239,2026-08-10 11:59:09
57,success,200,,CloutScore (synthetic-57),Anne Arundel,early,Autonomous Vehicles,30,0,"640 frederick road, baltimore, md 21228",21228,2026-08-10 11:59:13
58,success,200,,gSpin Technologies (synthetic-58),Howard,pre-seed,Social/Platform Software,30,1063348,"6711 iron ore 317 elkridge md 21075, elkridge, md 21075",21075,2026-08-10 11:59:20
59,success,200,,Maritime Applied Physics (synthetic-59),Baltimore County,early,Research Services,5,82601,"1100 wicomico st 600 c,baltimore, md united states 20777 - direct",20777,2026-08-10 11:59:25
60,success,200,,Infanity (synthetic-60),Howard,growth,Telecommunications,6,0,"71 old mill bottom rd n, annapolis, md 21409",21409,2026-08-10 11:59:31
62,success,200,,Provider Partner Health Plans (synthetic-62),Howard,early,Telecommunications,2,24868,"baltimore, md 20152, us - Li",20152,2026-08-10 11:59:35
61,success,200,,Mindgrub Technologies (synthetic-61),Baltimore City,pre-seed,Healthcare Services,30,1811146,"24 chasemount court, baltimore, md 21209",21209,2026-08-10 11:59:36
63,success,200,,Somnair (synthetic-63),Baltimore City,growth,Medical Supplies,6,0,"115 west st, ste 301, annapolis, maryland 21401, us - Li",21401,2026-08-10 11:59:43
64,success,200,,Insightin Health (synthetic-64),Baltimore City,growth,Aerospace and Defense,51200,10812,"4 west aylesbury road, lutherville timonium, md 21093",21093,2026-08-10 11:59:48
68,success,200,,SixMap (synthetic-68),Anne Arundel,established,IT Consulting and Outsourcing,30,890159,"1215 e fort ave, suite 200, baltimore, maryland 21230, us - Li",21230,2026-08-10 11:59:59
65,success,200,,Light Rider (synthetic-65),Howard,established,Diagnostics,210,0,"300 east lombard st, baltimore, md 21202",21202,2026-08-10 11:59:59
66,success,200,,Tight & Right Hair Revolution (synthetic-66),Baltimore City,seed,Consumer Tech,30,4569004,"201 milford mill rd, 202a, pikesville, maryland 21208, us - Li",21208,2026-08-10 12:00:07
67,success,200,,Vorbeck (synthetic-67),Baltimore City,growth,Medical Device,6,2078051,"2919 middlebridge court,crofton, md 21114, crofton, md 21114",21114,2026-08-10 12:00:09
69,success,200,,Alcamena Stem Cell Therapeutics (synthetic-69),Anne Arundel,early,Medical Device,1150,98882,"8320 sherwick ct., jessup, md 20794",20794,2026-08-10 12:00:14
70,success,200,,Outlook Company (synthetic-70),Baltimore City,early,Aerospace and Defence,6,561948,"8 market place, suite 300, baltimore, md 21202",21202,2026-08-10 12:00:14
71,success,200,,Profectus BioSciences (synthetic-71),Baltimore City,early,GovTech,125,0,"3570 poole street, baltimore, md 21211",21211,2026-08-10 12:00:23
72,success,200,,Packaging Strategies (synthetic-72),Baltimore City,established,IT Consulting and Outsourcing,30,197554,"glen burnie, maryland, 21060 - Pb",21060,2026-08-10 12:00:27
73,success,200,,SphereHub (synthetic-73),Howard,early,Construction / Engineering,6,86267,"3 ruxton green ct, towson, md 21204",21204,2026-08-10 12:00:31
75,success,200,,Jovian Concepts (synthetic-75),Baltimore City,seed,Medical Device,6,15985616,"columbia, maryland 21044, us - Li",21044,2026-08-10 12:00:31
76,success,200,,"Joget, Inc. (synthetic-76)",Howard,growth,IT Consulting and Outsourcing,6,1171082,"1100 wicomico st, baltimore, maryland 21230, us - Li",21230,2026-08-10 12:00:32
74,success,200,,Maryland Clean Energy Center (synthetic-74),Anne Arundel,established,Robotics,125,0,"1014 w 36th st, baltimore, md 21211",21211,2026-08-10 12:00:35
77,success,200,,Sommos (synthetic-77),Anne Arundel,seed,Environmental Services (B2B),2,33139,"919 west 34th street, unit 4771, baltimore, md 21211",21211,2026-08-10 12:00:47
81,success,200,,Zuul IoT (synthetic-81),Anne Arundel,established,Other Healthcare Technology Systems,6,224042,"6030 day break circle, suite a150-342,clarksville, md united states 21029 - direct",21029,2026-08-10 12:00:47
78,success,200,,NasaClip (synthetic-78),Baltimore City,seed,Medical Device,125,148720,"333 w ostend st, baltimore, maryland 21230, us - Li",21230,2026-08-10 12:00:48
80,success,200,,SWCreatives (synthetic-80),Howard,seed,Financial Services,6,187307,"1500 fannie dorsey rd sykesville, md 21784, sykesville, md 21784",21784,2026-08-10 12:00:48
79,success,200,,Exorenal (synthetic-79),Anne Arundel,established,Environmental Services (B2B),4,463291,"6518 meadowridge rd, suite 100, elkridge, maryland 21075, us - Li",21075,2026-08-10 12:00:49
85,success,200,,Catalyte (synthetic-85),Baltimore City,established,Medical Device,30,0,"3701 commerce dr, halethorpe, maryland 21227, us - Li",21227,2026-08-10 12:01:02
84,success,200,,Rendr (synthetic-84),Baltimore City,established,Multimedia and Design Software,125,51159,"701 e pratt st, baltimore, maryland 21202, us - Li",21202,2026-08-10 12:01:02
87,success,200,,"EBO, Corp. (synthetic-87)",Baltimore City,seed,Sporting Goods / Recreation,30,40462,"49 old solomons island road annapolis, md 21401, annapolis, md 21401",21401,2026-08-10 12:01:03
83,success,200,,Speedvision Media Group (synthetic-83),Anne Arundel,pre-seed,Quantum Computing,30,6661145,"1393 progress way, eldersburg, md 21784",21784,2026-08-10 12:01:03
86,success,200,,TeamWorx Security (synthetic-86),Baltimore City,early,Sporting Goods / Recreation,6,1703095,"7 south high street, baltimore, md 21202",21202,2026-08-10 12:01:04
88,success,200,,Glacier (synthetic-88),Baltimore City,early,AgTech,6,0,"2402 bluefield circle, joppatowne, md 21085",21085,2026-08-10 12:01:21
92,success,200,,BDP EnviroTech (synthetic-92),Anne Arundel,established,Aerospace and Defense,30,0,"6751 columbia gateway dr suite 300 columbia md 21046, columbia, md 21406",21046,2026-08-10 12:01:21
89,success,200,,SixMap (synthetic-89),Baltimore City,early,Telecommunications,125,1994428,"1334 ashton rd, suite e, hanover, maryland 21076, us - Li",21076,2026-08-10 12:01:22
91,success,200,,Tradeswell (Incremental) (synthetic-91),Howard,early,Other Healthcare Technology Systems,6,844193,"baltimore, maryland, 21218 - Pb",21218,2026-08-10 12:01:25
90,success,200,,VitusVet (synthetic-90),Baltimore City,pre-seed,Semiconductors,5,204751,"7 south high street, baltimore, md 21202",21202,2026-08-10 12:01:26
96,success,200,,Solar Oysters (synthetic-96),Baltimore City,growth,Therapeutics,30,16929382,"8825 stanford , suite 205 columbia, columbia, maryland 21045, us - Li",21045,2026-08-10 12:01:43
93,success,200,,Pet Connect Business (synthetic-93),Howard,seed,Cannabis,6,138039,"baltimore, md 21228, us - Li",21228,2026-08-10 12:01:44
94,success,200,,PathoVax (synthetic-94),Baltimore City,established,Fintech,30,13799127,"1450 s rolling road, halethorpe, md 21227-3863",21227,2026-08-10 12:01:44
97,success,200,,TradeRiver USA (synthetic-97),Baltimore City,early,Consulting,14,122524,"8840 stanford blvd, suite 4450, columbia, md 21045",21045,2026-08-10 12:01:44
95,success,200,,Storytime AI LLC (synthetic-95),Baltimore City,seed,Consulting,30,768377,"725 aliceanna st, baltimore, md 21202",21202,2026-08-10 12:01:45
82,success,200,,Youreka Labs (synthetic-82),Baltimore County,established,Real Estate Services (B2C),125,0,"3846a falls rd, baltimore, maryland 21211, us - Li",21211,2026-08-10 12:01:46
99,success,200,,The Berg Corporation (synthetic-99),Baltimore City,seed,Travel & Tourism,30,232781,"101 w dickman st, baltimore, maryland 21230, us - Li",21230,2026-08-10 12:01:52
98,success,200,,Girl In Space Club (synthetic-98),Anne Arundel,growth,Medical Device,5,286652,"101 n haven st., baltimore, md 21224, us - Li",21224,2026-08-10 12:02:02
160,success,200,True,,Mel's Workshop (synthetic-160),Baltimore County,seed,Supply Chain & Logistics,6,1941903,"baltimore, md 21217, us - Li",21217,2026-08-10 20:50:18
105,success,200,True,,"TCOM, L.P. (synthetic-105)",Baltimore City,established,Cybersecurity,6,224229,"7067 columbia gateway drive, columbia, md 21046",21046,2026-08-10 20:50:18
108,success,200,True,,Xeddy (synthetic-108),Howard,growth,Healthcare Services,125,1186467,"855 north wolfe street, suite 651, baltimore, md 21205",21205,2026-08-10 20:50:18
122,success,200,True,,Infanity (synthetic-122),Baltimore City,pre-seed,Healthcare IT,9,0,"bwtech@umbc 1450 s rolling rd, baltimore, maryland 21227, us - Li",21227,2026-08-10 20:50:18
163,success,200,True,,The Lor Company (synthetic-163),Baltimore City,growth,Diagnostics,125,169671,"2631 housley road, annapolis, md 21401",21401,2026-08-10 20:50:18
149,success,200,True,,Cravety (synthetic-149),Howard,pre-seed,Other,30,169188,"3811 canterbury rd. #803, baltimore, md 21218, us - Li",21218,2026-08-10 20:51:48
124,success,200,True,,KnowSilo (synthetic-124),Anne Arundel,early,Healthcare IT,6,1820889,"802 cromwell park dr., glen burnie, md 21061",21061,2026-08-10 20:51:48
119,success,200,True,,EcoMap Technologies (synthetic-119),Baltimore County,seed,Consumer Tech,30,103420,"6750 alexander bell dr, suite 420, columbia, maryland 21046, us - Li",21046,2026-08-10 20:51:48
162,success,200,True,,Kydes Pharmaceuticals (synthetic-162),Baltimore City,seed,Cannabis,210,0,"1100 wicomico street, suite 650, baltimore, md 21230",21230,2026-08-10 20:51:48
158,success,200,True,,Pocket Plan (synthetic-158),Baltimore City,early,IT Consulting and Outsourcing,5,1663093,"1501 st. paul st., baltimore, md 21202, us - Li",21202,2026-08-10 20:51:48
142,success,200,True,,Barttron (synthetic-142),Baltimore City,pre-seed,Diagnostics,6,0,"555 s president st, baltimore, maryland 21202, us - Li",21202,2026-08-10 20:53:18
127,success,200,True,,Skye Media Group (synthetic-127),Baltimore City,established,Digital Health,45,1998691,"8681 robert fulton drive,columbia, md united states 21046 - direct",21046,2026-08-10 20:53:18
152,success,200,True,,Equitea Co. (synthetic-152),Howard,pre-seed,Social/Platform Software,6,72964,"11501 pocomoke court, suite d, baltimore, md 21220, us - Li",21220,2026-08-10 20:53:18
150,success,200,True,,Youreka Labs (synthetic-150),Baltimore City,seed,Travel & Tourism,16,0,"3 ruxton green ct, towson, md 21204",21204,2026-08-10 20:53:18
157,success,200,True,,KleenUp (synthetic-157),Baltimore City,seed,Medical Device,6,171337,"705 south port street,baltimore, md united states 21224 - direct",21224,2026-08-10 20:53:18
133,success,200,True,,Saffrosystems (synthetic-133),Howard,growth,Defense & Space,125,25054,"1200 east patapsco avenue, baltimore, md 21225",21225,2026-08-10 20:54:48
134,success,200,True,,Ronday Technologies (synthetic-134),Baltimore City,early,AgTech,30,0,"6021 university blvd, suite 450, ellicott city, maryland 21073, us - Li",21073,2026-08-10 20:54:48
110,success,200,True,,MO MarTech (synthetic-110),Baltimore City,early,Research Services,125,125508,"555 s president st, baltimore, maryland 21202, us - Li",21202,2026-08-10 20:54:48
103,success,200,True,,Brinkbit (synthetic-103),Carroll,pre-seed,HR Tech,3,127341,"12 west madison street, baltimore, md 21201",21201,2026-08-10 20:54:48
131,success,200,True,,Provider Partner Health Plans (synthetic-131),Anne Arundel,pre-seed,Real Estate Services (B2C),1150,10885,"2288 blue water blvd, suite #329, odenton, md 21113, us - Li",21113,2026-08-10 20:54:48
146,success,200,True,,Dill Dinkers (synthetic-146),Howard,seed,Fintech,6,0,"1143 rock spring rd suite 115,bel air, md united states 21014 - direct",21014,2026-08-10 20:56:18
136,success,200,True,,Mess in A Bottle (synthetic-136),Howard,seed,AgTech,6,123686,"1954 greenspring dr, timonium, md 21093, us - Li",21093,2026-08-10 20:56:18
140,success,200,True,,Techslice (synthetic-140),Howard,growth,Apparel,6,75043,"6940 columbia gateway dr, suite 120, columbia, maryland 21046, us - Li",21046,2026-08-10 20:56:18
125,success,200,True,,Infinite Biomedical Technologies (synthetic-125),Baltimore County,established,Construction / Engineering,4,142121,"855 n. wolfe st., baltimore, md 21205",21205,2026-08-10 20:56:18
129,success,200,True,,Xeddy (synthetic-129),Anne Arundel,growth,Healthcare IT,6,0,"40 east cross street,baltimore, md united states 21230 - direct",21230,2026-08-10 20:56:18
165,success,200,True,,DOOR Ventures (synthetic-165),Baltimore City,established,Consulting,125,31749,"101 west dickman street,baltimore, md united states 21230 - direct",21230,2026-08-10 20:57:48
156,success,200,True,,MedRegen (synthetic-156),Baltimore City,pre-seed,Environmental Services (B2B),5,1102717,"5024 dorsey hall drive, ellicott city, md 21042",21042,2026-08-10 20:57:48
164,success,200,True,,SecuLore Solutions (synthetic-164),Anne Arundel,pre-seed,Aerospace and Defence,30,62031,"629 lake dr, towson, maryland 21286, us - Li",21286,2026-08-10 20:57:48
139,success,200,True,,Solar Oysters (synthetic-139),Baltimore City,established,Other Commercial Services,30,0,"100 international dr, 23rd floor, baltimore, maryland 21202, us - Li",21202,2026-08-10 20:57:48
130,success,200,True,,BallMecca (synthetic-130),Baltimore City,growth,Software Development,210,120332,"5609 hess ave, baltimore, md 21212",21212,2026-08-10 20:57:48
137,success,200,True,,BrightWave (synthetic-137),Baltimore City,seed,HR Tech,30,417552,"855 north wolfe street, suite 300, baltimore, md 21205",21205,2026-08-10 20:59:18
154,success,200,True,,Tradeswell (Incremental) (synthetic-154),Howard,growth,Biotechnology,2,0,"baltimore, md 21230, us - Li",21230,2026-08-10 20:59:18
113,success,200,True,,"MF Fire, Inc. (synthetic-113)",Baltimore City,established,Network Management Software,6,0,"405 north center street, westminster, md 21157",21157,2026-08-10 20:59:18
143,success,200,True,,Zest Social Media Solutions (synthetic-143),Howard,growth,Enterprise Technology,15,16844026,"1004 dulaney valley road towson md 21204 suite 720, owings mills, md 21217",21204,2026-08-10 20:59:18
159,success,200,True,,Pantheon Vision (synthetic-159),Baltimore City,growth,Research Services,125,0,"17 south chester street baltimore md 21231, baltimore, md 21231",21231,2026-08-10 20:59:18
121,success,200,True,,Drul (synthetic-121),Baltimore City,pre-seed,Nanotechnology,18,20890,"columbia, maryland, 21046 - Pb",21046,2026-08-10 21:00:48
118,success,200,True,,Gliknik (synthetic-118),Baltimore City,established,Other Healthcare Technology Systems,5,51119,"annapolis, md 21401, us - Li",21401,2026-08-10 21:00:48
101,success,200,True,,Pinkaloo Technologies (synthetic-101),Howard,growth,Food & Beverage,125,47408,"6100 merriweather drive, columbia, md 21044, us - Li",21044,2026-08-10 21:00:48
155,success,200,True,,Ambassadr (synthetic-155),Baltimore City,early,Consumer Tech,6,243809,"2401 w belvedere ave, bioincubator - lab 317, baltimore, maryland 21215, us - Li",21215,2026-08-10 21:00:48
132,success,200,True,,"Bit Reactor, LLC (synthetic-132)",Baltimore City,pre-seed,Web3,7,1009406,"129 truck house road, severna park, md 21146",21146,2026-08-10 21:00:48
147,success,200,True,,Volo (synthetic-147),Baltimore City,established,Aerospace and Defence,210,1335528,"baltimore, maryland 21202, us - Li",21202,2026-08-10 21:02:18
135,success,200,True,,Slick (synthetic-135),Baltimore County,pre-seed,Construction / Engineering,30,0,"101 w dickman st, suite 703, baltimore, maryland 21230, us - Li",21230,2026-08-10 21:02:18
144,success,200,True,,WBX Commerce (synthetic-144),Baltimore City,growth,Network Management Software,5,0,"towson, maryland, 21204 - Pb",21204,2026-08-10 21:02:18
104,success,200,True,,PYNE Creative (synthetic-104),Baltimore County,early,Diagnostic Equipment,6,627654,"6731 columbia gateway drive, suite 200, columbia, md 21046, us - Li",21046,2026-08-10 21:02:18
100,success,200,True,,Ronday Technologies (synthetic-100),Howard,early,Healthcare Services,5,187641,"hunt valley, maryland 21031, us - Li",21031,2026-08-10 21:02:18
107,success,200,True,,Yet Analytics (synthetic-107),Baltimore County,pre-seed,Entertainment & Recreation,6,131490,"2514 greenmount ave, baltimore, md 21218",21218,2026-08-10 21:03:48
115,success,200,True,,Harbor Link (synthetic-115),Baltimore City,growth,Gaming,5,156632,"36 s charles st , baltimore, md 21201, baltimore, md 21201",21201,2026-08-10 21:03:48
151,success,200,True,,Transform (synthetic-151),Baltimore City,pre-seed,Diagnostic Equipment,30,0,"801 west baltimore st,baltimore, md united states 21201 - direct",21201,2026-08-10 21:03:48
126,success,200,True,,Scholarly (synthetic-126),Howard,seed,AgTech,1,0,"6751 columbia gateway dr, columbia, md 21046",21046,2026-08-10 21:03:48
117,success,200,True,,Further Insights (synthetic-117),Baltimore City,established,Travel & Tourism,6,1735565,"2922 excelsior springs court,ellicott city, md united states 21042 - direct",21042,2026-08-10 21:03:48
141,success,200,True,,Sonavex (synthetic-141),Baltimore City,growth,Digital Health,6,758255,"180 admiral cochrane drive, annapolis, md 21401",21401,2026-08-10 21:05:18
153,success,200,True,,Mindgrasp (synthetic-153),Baltimore City,established,Environmental Services (B2B),5,0,"3840 bank street baltimore md, baltimore, md 21224",21224,2026-08-10 21:05:18
161,success,200,True,,Apkudo (synthetic-161),Howard,established,Web3,6,1674429,"785 elkridge landing rd, suite 300, linthicum heights, maryland 21090, us - Li",21090,2026-08-10 21:05:18
102,success,200,True,,"Eccalon, LLC (synthetic-102)",Baltimore City,established,Food & Beverage,210,141395,"3600 clipper mill road,baltimore, md united states 21211 - direct",21211,2026-08-10 21:05:18
116,success,200,True,,BDP EnviroTech (synthetic-116),Baltimore City,seed,Biotechnology,6,1637399,"columbia, maryland 21044, us - Li",21044,2026-08-10 21:05:18
109,success,200,True,,Conarium Bioworks (synthetic-109),Baltimore City,early,Entertainment & Recreation,125,14467563,"8600 lasalle road, #212, towson, maryland 21286, us - Li",21286,2026-08-10 21:06:48
114,success,200,True,,Norwegian Energy Solutions and Services (synthetic-114),Baltimore City,early,HR Tech,30,18794743,"9025 berger road, columbia, md 21046",21046,2026-08-10 21:06:48
148,success,200,True,,JJ Innovative Materials (synthetic-148),Baltimore City,pre-seed,Venture Studio,30,283320,"2036 e pratt st, baltimore, maryland 21231, us - Li",21231,2026-08-10 21:06:48
145,success,200,True,,Naturion (synthetic-145),Baltimore City,early,Research Services,125,241500,"5480 valmont road, 100, baltimore, md 80301",80301,2026-08-10 21:06:48
138,success,200,True,,NovaSom (synthetic-138),Baltimore City,seed,Diagnostics,6,86495,"1100 wicomico street, suite 650, baltimore, md 21230",21230,2026-08-10 21:06:48
